FIPS State county code,CBSA (Blanks are Rural),Rural area,Urban area
12061,42680,1,0
12063,,0,1
12065,45220,1,0
12067,,0,1
12069,36740,1,0
12071,15980,1,0
12073,45220,1,0
12075,,0,1
12077,,0,1
12079,,0,1
12081,35840,1,0
12083,36100,1,0
12085,38940,1,0
12087,,0,1
12089,27260,1,0
12091,18880,1,0
12093,,0,1
12095,36740,1,0
12097,36740,1,0
12099,48424,1,0
12101,45300,1,0
12103,45300,1,0
12105,29460,1,0
12107,,0,1
12109,27260,1,0
12111,38940,1,0
12113,37860,1,0
12115,35840,1,0
12117,36740,1,0
12119,45540,1,0
12121,,0,1
12123,,0,1
12125,,0,1
12127,19660,1,0
12129,45220,1,0
12131,18880,1,0
12133,,0,1
12990,,0,1
13001,,0,1
13003,,0,1
13005,,0,1
13007,10500,1,0
13009,,0,1
13011,,0,1
13013,12060,1,0
13015,12060,1,0
13017,,0,1
13019,,0,1
13021,31420,1,0
13023,,0,1
13025,15260,1,0
13027,46660,1,0
13029,42340,1,0
13031,,0,1
13033,12260,1,0
13035,12060,1,0
13037,,0,1
13039,,0,1
13043,,0,1
13045,12060,1,0
13047,16860,1,0
13049,,0,1
13051,42340,1,0
13053,17980,1,0
13055,,0,1
13057,12060,1,0
13059,12020,1,0
13061,,0,1
13063,12060,1,0
13065,,0,1
13067,12060,1,0
13069,,0,1
13071,,0,1
13073,12260,1,0
13075,,0,1
13077,12060,1,0
13079,31420,1,0
13081,,0,1
13083,16860,1,0
13085,12060,1,0
13087,,0,1
13089,12060,1,0
13091,,0,1
13093,,0,1
13095,10500,1,0
13097,12060,1,0
13099,,0,1
13101,46660,1,0
13103,42340,1,0
13105,,0,1
13107,,0,1
13109,,0,1
13111,,0,1
13113,12060,1,0
13115,40660,1,0
13117,12060,1,0
13119,,0,1
13121,12060,1,0
13123,,0,1
13125,,0,1
13127,15260,1,0
13129,,0,1
13131,,0,1
13133,,0,1
13135,12060,1,0
13137,,0,1
13139,23580,1,0
13141,,0,1
13143,12060,1,0
13145,17980,1,0
13147,,0,1
13149,12060,1,0
13151,12060,1,0
13153,47580,1,0
13155,,0,1
13157,,0,1
13159,12060,1,0
13161,,0,1
13163,,0,1
13165,,0,1
13167,,0,1
13169,31420,1,0
13171,12060,1,0
13173,46660,1,0
13175,,0,1
13177,10500,1,0
13179,25980,1,0
13181,12260,1,0
13183,25980,1,0
13185,46660,1,0
13187,,0,1
13189,12260,1,0
13191,15260,1,0
13193,,0,1
13195,12020,1,0
13197,17980,1,0
13199,12060,1,0
13201,,0,1
13205,,0,1
