Federal Provider Number,Residents Total Confirmed COVID-19,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,No Confirmed COVID-19 Cases among residents,Confirmed COVID-19 Cases among residents (1-<95% Percentile),Confirmed COVID-19 Cases among residents (>=95% Percentile),No Confirmed COVID-19 Cases among staff,Confirmed COVID-19 Cases among staff (1-<95% Percentile),Confirmed COVID-19 Cases among staff (>=95% Percentile),No Confirmed COVID-19 Deaths among residents,Confirmed COVID-19 Deaths among residents (1-<95% Percentile),Confirmed COVID-19 Deaths among residents (>=95% Percentile),No Confirmed COVID-19 Deaths among staff,Confirmed COVID-19 Deaths among staff (>0),Facility size Small (<33% Percentile beds),Facility size Medium (33%-66% Percentile beds),Facility size Large (>66% Percentile beds),Low occupancy rate (<33% Percentile),Medium occupancy rate (33%-66% Percentile),High occupancy rate (>66% Percentile)
055612,0,0,50,33,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
395321,35,14,114,75,30,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
455550,0,0,137,56,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
425316,0,0,38,35,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
265683,0,0,60,46,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
505075,1,0,106,61,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
335803,25,12,120,85,18,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
366109,0,0,60,52,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
366148,0,0,20,20,3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
375255,1,0,116,53,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
375417,0,0,125,55,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
445469,0,0,101,81,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
385077,0,0,104,83,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
495333,0,0,132,100,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
105052,1,0,192,138,10,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
08A011,1,0,46,38,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
055032,11,4,87,69,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
055735,1,0,128,111,4,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
015322,0,0,87,75,6,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
055039,8,0,98,82,15,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
095039,0,0,120,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
045256,0,0,121,68,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
105083,2,0,198,125,20,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
056364,0,0,55,45,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
015423,5,0,66,36,9,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
075211,7,5,120,65,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
015141,0,0,85,55,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
065297,25,9,93,58,3,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
065274,0,0,85,65,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
055085,4,1,49,34,6,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
056267,21,6,99,71,18,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
045149,0,0,88,48,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
105071,3,0,92,76,15,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
065283,7,4,105,98,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
055304,5,0,99,84,6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
105229,66,9,230,164,45,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
056291,2,0,106,89,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
065362,0,0,45,14,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
056279,10,4,59,49,20,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
056176,23,2,120,104,14,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
045250,0,0,70,40,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
105175,0,0,152,79,9,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
065077,0,0,82,70,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
065152,0,0,68,63,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
055710,8,1,81,75,11,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
075380,20,7,75,57,3,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
065229,0,0,106,94,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
015186,14,1,200,169,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
055169,2,0,378,317,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
056394,30,4,239,180,5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
055417,0,0,42,41,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
056203,3,0,180,124,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
085056,32,1,128,108,9,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
056444,11,0,140,123,16,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
055960,19,4,92,68,17,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
055517,1,0,65,44,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
015315,12,1,94,86,12,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
075096,29,1,60,40,4,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
055557,0,0,59,44,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
085009,2,0,62,46,10,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
056082,1,0,199,108,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
075423,0,0,190,158,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
075375,102,27,130,94,35,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
015044,28,11,64,47,8,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
105016,12,2,180,127,17,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
055538,20,5,59,48,18,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
065222,15,6,140,88,15,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
075400,59,12,161,118,30,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
055733,2,0,80,58,6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
065110,0,0,89,58,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
015148,0,0,87,75,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
045228,1,0,70,41,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
065390,1,0,80,58,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
035127,0,0,64,36,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
055350,41,4,91,37,20,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
065212,49,20,107,47,31,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
105275,0,0,120,100,8,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
065406,2,0,60,46,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
015437,2,0,102,82,5,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
075201,37,13,98,78,25,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
056405,57,10,140,99,43,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
055175,18,0,68,38,14,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
035106,11,1,56,27,52,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
035216,1,0,100,62,13,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
035117,2,0,163,68,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
035014,48,8,108,73,21,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
085036,0,0,72,35,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
06A185,0,0,56,44,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
065431,0,0,54,13,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
035132,28,0,191,155,15,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
045428,16,0,140,83,35,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
056479,1,0,109,103,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
105310,1,0,106,87,14,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
055461,6,0,66,54,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
015115,10,2,114,95,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
085015,1,0,124,106,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
025025,0,0,102,92,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
015209,62,26,180,129,38,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
05A147,0,0,96,93,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
015114,20,3,107,80,22,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
075418,0,0,90,73,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
056296,0,0,99,71,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
045305,0,0,116,101,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
015067,5,0,103,69,12,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
055014,0,0,99,81,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
065208,11,0,81,71,6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
056086,0,0,99,52,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
075069,12,14,75,66,7,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
035280,12,0,70,28,24,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
075243,0,0,72,55,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
095034,24,6,240,176,18,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
025036,0,0,96,96,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
045337,1,0,128,97,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
075306,1,0,60,51,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
045459,0,0,83,36,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
075061,71,29,156,117,33,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1
065234,0,0,60,38,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
045350,1,0,100,81,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
015414,4,0,63,47,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
055255,5,0,99,70,4,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
035217,21,8,115,84,35,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
065402,0,0,36,24,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
035201,0,0,30,18,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
055518,0,0,59,31,7,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
056043,103,14,196,162,46,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
055671,0,0,41,35,3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
056449,0,0,53,45,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
055161,1,0,72,29,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
05A110,0,0,33,30,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
035250,23,9,228,152,22,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
075404,14,4,134,108,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
056139,0,0,98,82,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
045422,42,12,70,33,13,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
045142,0,0,93,61,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
085010,81,33,136,81,30,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
065321,0,0,52,49,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
055045,4,8,154,121,21,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
025032,1,0,15,14,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
015463,23,14,71,52,43,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
035242,2,1,80,65,6,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
035291,1,0,96,52,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
056389,1,0,202,181,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
045125,0,0,87,55,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
056214,2,0,104,50,6,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
055211,0,0,185,146,7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
055992,2,0,97,70,11,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
045311,9,1,122,6,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
01A208,1,0,54,46,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
065397,4,0,53,48,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
065394,0,0,105,83,6,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
045196,0,0,122,86,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
055289,0,0,86,72,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
085004,82,25,169,109,13,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
105250,0,0,100,85,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
055142,44,18,99,62,93,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
015109,0,0,95,85,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
015215,1,0,131,121,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
105148,0,0,77,71,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
035240,40,7,104,45,17,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
075198,1,0,120,80,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
015443,39,0,152,112,29,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
055402,6,0,178,161,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
045435,0,0,130,111,7,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
055052,28,2,130,103,24,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
045146,1,0,97,75,4,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
045214,0,0,108,73,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
035100,0,0,118,43,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
06A175,0,0,30,17,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
105267,50,15,120,99,12,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
055886,0,0,180,156,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
015159,8,0,120,103,16,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
056242,2,0,114,60,16,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
085040,0,0,110,89,5,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
055619,49,17,216,178,23,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
06A196,0,0,64,60,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
055114,1,0,100,85,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
045411,5,2,70,41,5,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
075300,0,0,106,71,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
015406,0,0,92,63,5,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
105325,0,0,120,95,13,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
075312,8,1,102,78,7,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
045219,0,0,100,54,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
015383,2,0,148,116,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
075328,1,0,45,29,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
105321,1,0,180,151,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
056411,0,0,116,115,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
015393,2,0,185,155,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
045246,0,0,86,64,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
105140,17,5,261,161,13,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
065374,0,0,45,22,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
075252,80,28,162,118,23,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
056111,2,0,94,85,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
055689,2,0,99,70,7,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
045393,0,0,95,83,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
055798,15,0,148,131,9,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
065306,0,0,60,52,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
056338,0,0,57,49,6,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
065198,0,0,45,41,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
045155,38,5,105,58,18,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
035169,17,0,120,63,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
065379,47,15,200,137,27,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
04A158,25,7,121,75,8,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
05A411,1,0,90,70,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
015410,2,0,26,18,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
056231,0,0,96,49,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
055315,7,0,102,80,5,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
015422,1,0,103,89,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
055353,1,0,75,42,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
045211,0,0,173,99,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
056466,68,17,98,48,46,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
055488,1,0,90,71,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
075082,56,4,92,89,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
055873,0,0,119,106,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
075070,65,17,120,58,32,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
05A021,3,0,59,50,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
065337,16,3,92,65,16,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
015152,30,2,170,128,20,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
105259,13,8,105,83,8,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
055742,69,10,99,68,27,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0
056218,0,1,99,67,15,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
065378,2,0,109,89,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
015448,0,0,81,61,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
075333,55,20,126,79,25,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
055918,98,11,98,44,55,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
075238,67,18,120,77,23,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0
105320,1,0,120,115,5,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
015453,39,9,63,51,33,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
075060,50,20,126,99,28,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
055698,2,0,99,84,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
035245,21,1,127,110,19,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
015391,0,0,167,159,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
015179,1,0,74,64,4,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
015034,43,4,78,64,10,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
055297,1,1,99,94,16,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
015321,58,18,101,59,34,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
075307,1,0,76,70,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
075210,4,9,150,83,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
045430,0,0,116,45,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
065294,0,0,60,37,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
055394,0,0,99,67,6,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
045401,0,0,70,58,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
065408,0,0,56,55,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
055800,0,0,73,62,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
055181,2,0,129,103,11,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
05A397,7,0,208,193,40,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
035083,4,0,108,58,9,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
045464,0,0,101,94,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
075347,81,14,128,101,40,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
075237,82,22,180,71,32,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
065202,1,0,130,88,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
055135,2,30,59,35,22,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
055816,5,0,99,71,14,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
075202,1,0,120,93,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
055188,0,0,96,71,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
035295,0,1,96,83,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
015142,0,0,101,96,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
035289,1,0,96,48,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
105210,1,1,68,44,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
055092,0,0,59,50,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
055013,24,26,166,132,34,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
075337,66,8,155,139,22,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1
075377,46,24,120,80,8,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
085019,0,0,70,55,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
065249,0,0,50,38,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
065398,0,0,24,24,3,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
055212,0,0,83,70,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
105296,0,0,88,86,4,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
015175,31,6,166,144,25,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
065239,19,22,63,36,7,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
015206,35,3,119,73,18,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
035126,24,0,223,110,32,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
056133,1,12,145,83,4,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
015040,52,11,138,84,25,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
055929,1,0,96,73,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
06A171,0,0,30,28,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
