Federal Provider Number,Residents Total Confirmed COVID-19,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,No Confirmed COVID-19 Cases among residents,Confirmed COVID-19 Cases among residents (1-<95% Percentile),Confirmed COVID-19 Cases among residents (>=95% Percentile),No Confirmed COVID-19 Cases among staff,Confirmed COVID-19 Cases among staff (1-<95% Percentile),Confirmed COVID-19 Cases among staff (>=95% Percentile),No Confirmed COVID-19 Deaths among residents,Confirmed COVID-19 Deaths among residents (1-<95% Percentile),Confirmed COVID-19 Deaths among residents (>=95% Percentile),No Confirmed COVID-19 Deaths among staff,Confirmed COVID-19 Deaths among staff (>0),Facility size Small (<33% Percentile beds),Facility size Medium (33%-66% Percentile beds),Facility size Large (>66% Percentile beds),Low occupancy rate (<33% Percentile),Medium occupancy rate (33%-66% Percentile),High occupancy rate (>66% Percentile)
245345,0,0,50,36,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
245238,4,0,32,23,5,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
245418,0,0,44,32,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
235459,0,0,100,62,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245412,0,0,56,50,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
225367,3,2,49,22,6,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
255309,2,0,140,120,8,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
225568,0,30,142,61,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
245474,15,4,115,86,12,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
235428,0,2,124,69,23,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
215267,0,0,113,79,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
265055,0,0,99,44,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
245431,0,0,45,31,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
265582,0,0,60,56,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
245441,1,0,85,78,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
245318,0,0,54,40,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
255269,0,0,180,129,10,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
245233,0,0,109,87,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
245227,0,0,139,107,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
245591,30,5,84,63,13,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
