PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
155704,72.88,Yes,98.21,0,1,0,1,0,1
155449,50.57,Yes,100,1,0,0,1,0,1
155672,55.56,No,100,1,0,1,0,0,1
155752,74.19,Yes,78.13,0,1,0,1,1,0
155574,75,Yes,96.3,0,1,0,1,0,1
155607,65.57,Yes,96.49,0,1,0,1,0,1
155520,79.07,Yes,95.24,0,1,0,1,0,1
155390,94.55,No,88.37,0,1,1,0,1,0
155716,76.1,No,92.55,0,1,1,0,0,1
155621,62.22,Yes,96.1,1,0,0,1,0,1
155820,76.09,Yes,86.36,0,1,0,1,1,0
155511,83.33,Yes,79.17,0,1,0,1,1,0
155551,62.92,Yes,92.21,1,0,0,1,0,1
155740,20,Yes,98.11,1,0,0,1,0,1
155568,77.59,Yes,100,0,1,0,1,0,1
155801,75.56,Yes,62.79,0,1,0,1,1,0
155508,66.15,Yes,90.32,0,1,0,1,0,1
155481,55.32,Yes,96.55,1,0,0,1,0,1
155490,75,No,89.72,0,1,1,0,0,1
155567,88.14,Yes,82,0,1,0,1,1,0
155532,94.44,Yes,100,0,1,0,1,0,1
155477,75.47,Yes,97.67,0,1,0,1,0,1
155444,78.95,Yes,97.14,0,1,0,1,0,1
155501,68.89,Yes,97.78,0,1,0,1,0,1
155378,72.83,Yes,98.82,0,1,0,1,0,1
155600,67.15,No,98.39,0,1,1,0,0,1
155572,72.22,Yes,85.71,0,1,0,1,1,0
155389,77.78,No,31.91,0,1,1,0,1,0
155596,49.3,Yes,100,1,0,0,1,0,1
155406,76,Yes,85.71,0,1,0,1,1,0
155446,82.35,Yes,75,0,1,0,1,1,0
155570,83.33,No,90,0,1,1,0,0,1
155494,62.32,Yes,91.94,1,0,0,1,0,1
155487,68.27,Yes,99.06,0,1,0,1,0,1
155847,80.77,Yes,95.83,0,1,0,1,0,1
155655,53.71,No,98.82,1,0,1,0,0,1
155589,58.93,Yes,98.25,1,0,0,1,0,1
155495,82.61,Yes,93.33,0,1,0,1,0,1
155464,58.33,Yes,95.24,1,0,0,1,0,1
155728,66.67,Yes,97.5,0,1,0,1,0,1
155462,72.13,Yes,100,0,1,0,1,0,1
155549,87.23,Yes,91.11,0,1,0,1,0,1
155606,61.8,Yes,82.35,1,0,0,1,1,0
155654,75,Yes,76.92,0,1,0,1,1,0
155583,62.5,Yes,100,1,0,0,1,0,1
155557,59.02,Yes,62.07,1,0,0,1,1,0
155635,48.65,No,100,1,0,1,0,0,1
155741,78.26,Yes,90.24,0,1,0,1,0,1
155556,58.7,Yes,94.81,1,0,0,1,0,1
155474,73.53,Yes,95.71,0,1,0,1,0,1
155412,74.07,Yes,96.25,0,1,0,1,0,1
155507,81.48,Yes,100,0,1,0,1,0,1
155683,100,No,LNE,0,1,1,0,0,1
155426,70.75,Yes,95.04,0,1,0,1,0,1
155503,70.37,Yes,100,0,1,0,1,0,1
155608,51.49,Yes,94.83,1,0,0,1,0,1
155714,54.17,No,100,1,0,1,0,0,1
