PROV,paymcaid,multifac,pctwhite_2011p,Low Medicaid share (<Median),High Medicaid share (>=Median),No chain affiliation,Chain affiliation,Low racial or ethnic minority share (<Median),High racial or ethnic minority share (>=Median)
015436,67.15,Yes,35.85,0,1,0,1,1,0
015009,66.07,No,97.73,0,1,1,0,0,1
015010,60.81,No,77.27,1,0,1,0,1,0
015447,64.81,Yes,78.18,0,1,0,1,1,0
015012,52,Yes,100,1,0,0,1,0,1
015014,80.77,Yes,LNE,0,1,0,1,0,1
015015,64.77,No,90.48,0,1,1,0,0,1
015016,77.78,Yes,77.98,0,1,0,1,1,0
015019,59.79,Yes,62.37,1,0,0,1,1,0
015023,75,No,96.3,0,1,1,0,0,1
015024,58.71,No,97.74,1,0,1,0,0,1
015027,47.86,Yes,89.72,1,0,0,1,0,1
015028,79.22,Yes,80.88,0,1,0,1,1,0
015031,43.29,No,85.03,1,0,1,0,1,0
015032,54.92,Yes,94.26,1,0,0,1,0,1
015034,80,Yes,60.34,0,1,0,1,1,0
015035,75.47,Yes,59.26,0,1,0,1,1,0
015037,84.75,Yes,23.21,0,1,0,1,1,0
015040,69.7,Yes,15.83,0,1,0,1,1,0
015042,67.05,Yes,31.71,0,1,0,1,1,0
015044,92.59,No,50,0,1,1,0,1,0
015045,72.62,Yes,65.43,0,1,0,1,1,0
015047,75.96,Yes,19.79,0,1,0,1,1,0
015048,65.93,Yes,98.81,0,1,0,1,0,1
015049,43.82,Yes,82.72,1,0,0,1,1,0
015050,71.23,Yes,24.19,0,1,0,1,1,0
015053,82.19,No,95.59,0,1,1,0,0,1
015060,80.7,Yes,33.33,0,1,0,1,1,0
015063,61.96,Yes,95.12,1,0,0,1,0,1
015065,38.3,Yes,81.95,1,0,0,1,1,0
015066,71.43,Yes,94,0,1,0,1,0,1
015067,69.77,Yes,90.7,0,1,0,1,0,1
015071,89.58,Yes,93.33,0,1,0,1,0,1
015073,65.84,No,98.37,0,1,1,0,0,1
015075,75.25,No,93.85,0,1,1,0,0,1
015076,58.15,Yes,87.91,1,0,0,1,1,0
015083,73.49,No,79.22,0,1,1,0,1,0
015084,74.51,No,46.46,0,1,1,0,1,0
015089,75.41,Yes,66.04,0,1,0,1,1,0
015091,79.1,No,53.42,0,1,1,0,1,0
015097,65.28,Yes,36.84,0,1,0,1,1,0
015098,48.94,Yes,81.82,1,0,0,1,1,0
015100,75,Yes,50.39,0,1,0,1,1,0
015101,85.71,No,97.87,0,1,1,0,0,1
015103,65.35,Yes,57.02,0,1,0,1,1,0
015104,88.89,Yes,61.64,0,1,0,1,1,0
015109,88.37,Yes,30,0,1,0,1,1,0
015111,62.14,Yes,70.87,1,0,0,1,1,0
015112,80.65,Yes,LNE,0,1,0,1,0,1
015113,66.06,Yes,77.92,0,1,0,1,1,0
015114,71.72,No,91.21,0,1,1,0,0,1
015115,64.21,Yes,94.9,1,0,0,1,0,1
015116,58.06,Yes,78.5,1,0,0,1,1,0
015117,78,No,16.09,0,1,1,0,1,0
015119,89.52,Yes,20,0,1,0,1,1,0
015120,36.36,Yes,85.47,1,0,0,1,1,0
015121,78.46,Yes,62.69,0,1,0,1,1,0
015435,63.74,No,65.38,1,0,1,0,1,0
015123,92.41,No,80.52,0,1,1,0,1,0
015124,60.81,No,97.87,1,0,1,0,0,1
015126,65.98,No,91.01,0,1,1,0,0,1
015127,82.57,Yes,62.77,0,1,0,1,1,0
015128,61.86,Yes,93.4,1,0,0,1,0,1
015129,83.53,Yes,55.81,0,1,0,1,1,0
015434,66.06,Yes,68.75,0,1,0,1,1,0
015132,68.31,Yes,60.31,0,1,0,1,1,0
015133,69.17,Yes,87.5,0,1,0,1,1,0
015134,70.49,No,55.88,0,1,1,0,1,0
015135,26.98,No,100,1,0,1,0,0,1
015136,74.55,No,95.28,0,1,1,0,0,1
015137,75.58,No,57.33,0,1,1,0,1,0
015138,69.57,No,100,0,1,1,0,0,1
015139,69.15,Yes,75.27,0,1,0,1,1,0
015141,80.43,Yes,67.39,0,1,0,1,1,0
015142,74.75,Yes,83.15,0,1,0,1,1,0
015143,48.75,No,88.16,1,0,1,0,1,0
015144,73.58,Yes,80.56,0,1,0,1,1,0
015145,47.37,Yes,73.74,1,0,0,1,1,0
015147,70.18,Yes,91.07,0,1,0,1,0,1
015148,56.63,Yes,100,1,0,0,1,0,1
015149,55.07,No,98.48,1,0,1,0,0,1
015150,75.31,No,92.86,0,1,1,0,0,1
015151,87.5,Yes,38,0,1,0,1,1,0
015152,55.84,No,82.19,1,0,1,0,1,0
015153,49.12,Yes,15.38,1,0,0,1,1,0
015154,75.7,No,86.79,0,1,1,0,1,0
015155,56.49,Yes,90.76,1,0,0,1,0,1
015156,79.82,Yes,99.06,0,1,0,1,0,1
015157,62.67,Yes,100,1,0,0,1,0,1
015158,86.21,No,43.86,0,1,1,0,1,0
015159,76.36,Yes,92.39,0,1,0,1,0,1
015160,71.92,Yes,81.02,0,1,0,1,1,0
015162,81.05,Yes,63.01,0,1,0,1,1,0
015163,65.99,Yes,94.66,0,1,0,1,0,1
015164,82.95,Yes,47.78,0,1,0,1,1,0
015166,77.91,Yes,61.96,0,1,0,1,1,0
015167,75.68,Yes,93.06,0,1,0,1,0,1
015168,87.14,No,85.14,0,1,1,0,1,0
015169,51.52,No,84.68,1,0,1,0,1,0
015171,77.98,No,23.53,0,1,1,0,1,0
015174,72.04,Yes,82.14,0,1,0,1,1,0
015175,62.11,Yes,76.34,1,0,0,1,1,0
015176,71.53,Yes,100,0,1,0,1,0,1
015177,86.36,Yes,47.06,0,1,0,1,1,0
015178,57.14,No,LNE,1,0,1,0,0,1
015179,83.33,Yes,66.67,0,1,0,1,1,0
015180,51.01,Yes,82.96,1,0,0,1,1,0
015182,81.01,Yes,57.69,0,1,0,1,1,0
015183,81.21,No,42.11,0,1,1,0,1,0
015184,85.95,No,96.52,0,1,1,0,0,1
015186,70.06,Yes,54.94,0,1,0,1,1,0
015187,54.84,Yes,76.36,1,0,0,1,1,0
015188,69.44,Yes,58.33,0,1,0,1,1,0
015189,70.59,Yes,84.85,0,1,0,1,1,0
015191,78.13,Yes,73.77,0,1,0,1,1,0
015192,57.76,Yes,73.43,1,0,0,1,1,0
015193,78.49,Yes,64.04,0,1,0,1,1,0
015194,68.97,No,91.03,0,1,1,0,0,1
015195,47.5,Yes,95.24,1,0,0,1,0,1
015196,80.49,Yes,42.11,0,1,0,1,1,0
015197,87.69,Yes,51.72,0,1,0,1,1,0
015199,73.08,Yes,43.55,0,1,0,1,1,0
015200,86.36,No,92.59,0,1,1,0,0,1
015201,86.08,Yes,92.11,0,1,0,1,0,1
015202,63.75,Yes,80.31,1,0,0,1,1,0
015203,85.71,Yes,85.22,0,1,0,1,1,0
015204,88.89,Yes,58.18,0,1,0,1,1,0
015206,53.7,Yes,86.67,1,0,0,1,1,0
015207,70.62,No,96.47,0,1,1,0,0,1
015208,66.91,Yes,64.29,0,1,0,1,1,0
015209,61.33,Yes,44.96,1,0,0,1,1,0
015210,74.07,Yes,87.16,0,1,0,1,1,0
015211,85.71,Yes,9.65,0,1,0,1,1,0
015212,56.82,No,90.91,1,0,1,0,0,1
015213,79.86,No,66.14,0,1,1,0,1,0
015214,56.25,Yes,84.13,1,0,0,1,1,0
015215,79.13,No,86.21,0,1,1,0,1,0
015216,80.92,No,64.23,0,1,1,0,1,0
015217,77.19,No,37.27,0,1,1,0,1,0
015461,70.73,Yes,50,0,1,0,1,1,0
015220,80.82,No,59.7,0,1,1,0,1,0
015221,78.52,No,83.46,0,1,1,0,1,0
015222,66.07,Yes,84.21,0,1,0,1,1,0
015223,80.43,Yes,76.74,0,1,0,1,1,0
015225,76.58,No,100,0,1,1,0,0,1
015227,75.86,No,91.74,0,1,1,0,0,1
015228,71.43,Yes,17.95,0,1,0,1,1,0
015303,79.55,Yes,28.69,0,1,0,1,1,0
015315,70.42,Yes,95.65,0,1,0,1,0,1
015320,70.73,No,86.08,0,1,1,0,1,0
015321,45.36,Yes,77.17,1,0,0,1,1,0
015322,71.95,Yes,66.23,0,1,0,1,1,0
015326,78.2,Yes,49.18,0,1,0,1,1,0
015330,78.95,No,55.41,0,1,1,0,1,0
015331,62.82,Yes,81.25,1,0,0,1,1,0
015336,65.67,Yes,74.82,0,1,0,1,1,0
015361,67.86,No,98.15,0,1,1,0,0,1
015369,45.97,Yes,77.88,1,0,0,1,1,0
015371,66.03,No,85.92,0,1,1,0,1,0
015372,36.62,No,78.08,1,0,1,0,1,0
015373,82.35,No,69.7,0,1,1,0,1,0
015374,93.15,No,46.48,0,1,1,0,1,0
015375,85.29,Yes,68.75,0,1,0,1,1,0
015376,85.84,Yes,83.33,0,1,0,1,1,0
015378,56.32,Yes,98.57,1,0,0,1,0,1
015379,46.67,No,81.63,1,0,1,0,1,0
015429,76.84,No,34.94,0,1,1,0,1,0
015381,23.26,No,97.62,1,0,1,0,0,1
015382,76.32,Yes,52,0,1,0,1,1,0
015383,61.97,Yes,97.74,1,0,0,1,0,1
015455,64.18,No,63.41,1,0,1,0,1,0
015386,73.85,Yes,64.29,0,1,0,1,1,0
015388,53.27,Yes,77.42,1,0,0,1,1,0
015390,71.55,Yes,28.57,0,1,0,1,1,0
015391,57.33,Yes,84.09,1,0,0,1,1,0
015392,80.56,Yes,78.26,0,1,0,1,1,0
015393,75,Yes,64.97,0,1,0,1,1,0
015396,83.54,Yes,35.06,0,1,0,1,1,0
015397,75.49,Yes,66.3,0,1,0,1,1,0
015398,83.78,No,50,0,1,1,0,1,0
015400,70.59,No,92.11,0,1,1,0,0,1
015402,67.8,Yes,98.28,0,1,0,1,0,1
015403,57.83,Yes,41.89,1,0,0,1,1,0
015404,62.5,Yes,LNE,1,0,0,1,0,1
015406,74.36,No,84.93,0,1,1,0,1,0
015407,86,No,91.67,0,1,1,0,0,1
015408,75.51,No,93.62,0,1,1,0,0,1
015410,0,Yes,LNE,1,0,0,1,0,1
015411,47.15,Yes,83.93,1,0,0,1,1,0
015413,77.42,Yes,LNE,0,1,0,1,0,1
015414,76.36,No,LNE,0,1,1,0,0,1
015415,72.41,No,76.92,0,1,1,0,1,0
015416,73.28,No,82.11,0,1,1,0,1,0
015417,60,Yes,86.89,1,0,0,1,1,0
015423,0,Yes,94,1,0,0,1,0,1
015419,70.37,Yes,79.71,0,1,0,1,1,0
015420,80.26,Yes,92.06,0,1,0,1,0,1
015422,79.12,No,98.86,0,1,1,0,0,1
015424,88.52,Yes,50,0,1,0,1,1,0
015425,59.35,Yes,87.5,1,0,0,1,1,0
015426,0,No,93.33,1,0,1,0,0,1
015431,44.78,Yes,76.47,1,0,0,1,1,0
015463,61.76,Yes,85.45,1,0,0,1,1,0
015433,39.83,No,92.98,1,0,1,0,0,1
015437,57.61,Yes,100,1,0,0,1,0,1
015440,47.31,Yes,78.95,1,0,0,1,1,0
015442,84.72,Yes,15.71,0,1,0,1,1,0
015443,43.09,No,91.82,1,0,1,0,0,1
015445,63.72,Yes,22.77,1,0,0,1,1,0
015446,51.76,Yes,79.49,1,0,0,1,1,0
015448,43.84,No,84.93,1,0,1,0,1,0
015450,0,Yes,97.73,1,0,0,1,0,1
015451,72.97,Yes,88.89,0,1,0,1,0,1
015452,53.09,No,84.42,1,0,1,0,1,0
015453,39.34,Yes,98.11,1,0,0,1,0,1
015454,0,No,100,1,0,1,0,0,1
015456,50.55,Yes,90.54,1,0,0,1,0,1
015457,0,No,100,1,0,1,0,0,1
015458,54.84,Yes,62.3,1,0,0,1,1,0
015459,0,Yes,100,1,0,0,1,0,1
015460,40,Yes,87.27,1,0,0,1,1,0
015642,42.11,Yes,88.89,1,0,0,1,0,1
01A193,98.08,No,52,0,1,1,0,1,0
01A208,100,Yes,44.19,0,1,0,1,1,0
035003,0,Yes,93.75,1,0,0,1,0,1
035004,99.21,No,51.59,0,1,1,0,1,0
035014,76.74,Yes,62.86,0,1,0,1,1,0
035016,31.33,No,89.66,1,0,1,0,0,1
035059,48.65,Yes,80,1,0,0,1,1,0
035062,98.73,No,50.67,0,1,1,0,1,0
035064,82.22,No,66.67,0,1,1,0,1,0
035068,52.69,No,71.62,1,0,1,0,1,0
035070,57.3,Yes,63.01,1,0,0,1,1,0
035071,35.87,Yes,89.39,1,0,0,1,0,1
035072,67.83,No,91.75,0,1,1,0,0,1
035073,34.09,Yes,61.02,1,0,0,1,1,0
035074,0,No,94.12,1,0,1,0,0,1
035076,78.13,Yes,71.08,0,1,0,1,1,0
035083,25.49,No,77.78,1,0,1,0,1,0
035084,73.24,No,58.54,0,1,1,0,1,0
035085,44,Yes,80.43,1,0,0,1,1,0
035086,58.73,Yes,63.38,1,0,0,1,1,0
035087,71.92,Yes,42.03,0,1,0,1,1,0
035088,70.11,Yes,42.86,0,1,0,1,1,0
035090,0,Yes,100,1,0,0,1,0,1
035091,54.88,Yes,27.94,1,0,0,1,1,0
035092,77.78,Yes,67.86,0,1,0,1,1,0
035093,56,Yes,94.44,1,0,0,1,0,1
035094,55.84,Yes,85.48,1,0,0,1,1,0
035095,55,Yes,83.82,1,0,0,1,1,0
035096,79.81,Yes,37.89,0,1,0,1,1,0
035097,65.96,No,90.67,0,1,1,0,0,1
035099,78.95,Yes,56.91,0,1,0,1,1,0
035100,44.44,No,91.3,1,0,1,0,0,1
035101,71.88,Yes,56.96,0,1,0,1,1,0
035103,75.95,Yes,78.38,0,1,0,1,1,0
035105,74.16,Yes,84.38,0,1,0,1,1,0
035106,84.78,No,72.09,0,1,1,0,1,0
035107,74.16,Yes,50.68,0,1,0,1,1,0
035110,70.97,No,79.83,0,1,1,0,1,0
035111,72.84,Yes,75,0,1,0,1,1,0
035112,62.35,No,91.36,1,0,1,0,0,1
035114,74.55,No,97.87,0,1,1,0,0,1
035116,46.67,No,73.81,1,0,1,0,1,0
035117,65.22,Yes,49.45,0,1,0,1,1,0
035118,61.11,Yes,78.05,1,0,0,1,1,0
035120,62.96,Yes,78.26,1,0,0,1,1,0
035121,0,Yes,93.75,1,0,0,1,0,1
035125,85.71,Yes,77.98,0,1,0,1,1,0
035126,62.86,Yes,80.38,1,0,0,1,1,0
035127,68.97,Yes,89.66,0,1,0,1,0,1
035130,73.56,No,56.96,0,1,1,0,1,0
035131,66.67,Yes,85.14,0,1,0,1,1,0
035132,80.36,Yes,66.21,0,1,0,1,1,0
035133,43.88,Yes,65.22,1,0,0,1,1,0
035134,74.7,No,63.29,0,1,1,0,1,0
035135,67.88,Yes,78.46,0,1,0,1,1,0
035136,66.67,Yes,86.75,0,1,0,1,1,0
035137,88.64,Yes,71.43,0,1,0,1,1,0
035139,47.27,No,57.14,1,0,1,0,1,0
035140,50.55,Yes,81.71,1,0,0,1,1,0
035141,68,Yes,44.29,0,1,0,1,1,0
035250,97.53,No,77.56,0,1,1,0,1,0
035143,0,Yes,92.59,1,0,0,1,0,1
035144,78.57,Yes,71.72,0,1,0,1,1,0
035145,77.64,Yes,74.66,0,1,0,1,1,0
035146,68.79,Yes,80.34,0,1,0,1,1,0
035147,83.93,No,68.63,0,1,1,0,1,0
035151,61.9,Yes,85.07,1,0,0,1,1,0
035152,82.93,No,45.12,0,1,1,0,1,0
035154,83.33,No,70.95,0,1,1,0,1,0
035158,0,Yes,100,1,0,0,1,0,1
035159,80.88,Yes,46.96,0,1,0,1,1,0
035160,82.81,No,73.33,0,1,1,0,1,0
035164,57.33,Yes,90,1,0,0,1,0,1
035165,53.09,Yes,67.65,1,0,0,1,1,0
035166,82.52,Yes,48.12,0,1,0,1,1,0
035169,63.08,Yes,90,1,0,0,1,0,1
035171,78.79,Yes,82.76,0,1,0,1,1,0
035172,73.26,Yes,64.47,0,1,0,1,1,0
035173,56,No,88.46,1,0,1,0,1,0
035174,65,Yes,54.13,0,1,0,1,1,0
035175,95.21,Yes,61.87,0,1,0,1,1,0
035176,43.08,No,92.98,1,0,1,0,0,1
035180,89.13,Yes,27.27,0,1,0,1,1,0
035214,5.45,Yes,92.31,1,0,0,1,0,1
035183,83.13,Yes,80.52,0,1,0,1,1,0
035189,68.48,Yes,64.63,0,1,0,1,1,0
035190,53.52,Yes,42.86,1,0,0,1,1,0
035192,0,No,97.56,1,0,1,0,0,1
035193,70.47,No,64,0,1,1,0,1,0
035196,78.74,Yes,69.61,0,1,0,1,1,0
035197,60.42,Yes,62.92,1,0,0,1,1,0
035199,0,Yes,100,1,0,0,1,0,1
035201,0,Yes,92.86,1,0,0,1,0,1
035205,94.37,No,63.77,0,1,1,0,1,0
035207,39.33,No,90.14,1,0,1,0,0,1
035251,42.22,Yes,82.35,1,0,0,1,1,0
035216,76.25,No,0,0,1,1,0,1,0
035217,85.57,No,78.49,0,1,1,0,1,0
035225,81.93,Yes,89.02,0,1,0,1,0,1
035231,0,No,100,1,0,1,0,0,1
035232,45.24,Yes,83.54,1,0,0,1,1,0
035233,73.17,Yes,38.1,0,1,0,1,1,0
035234,38.56,No,80.31,1,0,1,0,1,0
035256,0,Yes,95.45,1,0,0,1,0,1
035240,75,Yes,97.67,0,1,0,1,0,1
035241,68.32,Yes,33.33,0,1,0,1,1,0
035242,100,No,0,0,1,1,0,1,0
035243,87.23,Yes,86.84,0,1,0,1,1,0
035244,40.74,Yes,97.78,1,0,0,1,0,1
035245,77.88,Yes,72.94,0,1,0,1,1,0
035270,76.92,Yes,61.7,0,1,0,1,1,0
035249,72.37,No,92.19,0,1,1,0,0,1
035253,0,Yes,100,1,0,0,1,0,1
035254,100,No,LNE,0,1,1,0,0,1
035255,67.97,Yes,56.82,0,1,0,1,1,0
035257,39.62,No,42.55,1,0,1,0,1,0
035258,98,No,42.86,0,1,1,0,1,0
035259,0,Yes,93.1,1,0,0,1,0,1
035260,0,Yes,100,1,0,0,1,0,1
035262,86.25,No,92.21,0,1,1,0,0,1
035263,67.92,No,0,0,1,1,0,1,0
035264,0,No,86.27,1,0,1,0,1,0
035265,0,Yes,100,1,0,0,1,0,1
035266,0,Yes,89.29,1,0,0,1,0,1
035267,18.52,No,100,1,0,1,0,0,1
035268,0,Yes,100,1,0,0,1,0,1
035272,0,No,100,1,0,1,0,0,1
035273,0,Yes,91.67,1,0,0,1,0,1
035274,0,Yes,LNE,1,0,0,1,0,1
035275,0,Yes,80.65,1,0,0,1,1,0
035276,65.85,No,42.45,0,1,1,0,1,0
035277,73.4,Yes,29.73,0,1,0,1,1,0
035279,0,Yes,92.86,1,0,0,1,0,1
035280,0,Yes,96.97,1,0,0,1,0,1
035281,0,Yes,94.12,1,0,0,1,0,1
035282,0,No,91.89,1,0,1,0,0,1
035283,0,Yes,90,1,0,0,1,0,1
035284,31.03,No,78,1,0,1,0,1,0
035285,0,No,94.44,1,0,1,0,0,1
035286,0,Yes,94.12,1,0,0,1,0,1
035247,95.92,Yes,75.51,0,1,0,1,1,0
045450,45.24,No,55.81,1,0,1,0,1,0
045070,66.67,No,97.26,0,1,1,0,0,1
045452,70.25,No,99.13,0,1,1,0,0,1
045098,83.33,No,84.44,0,1,1,0,1,0
045125,0,No,98.11,1,0,1,0,0,1
045134,70.97,No,81.67,0,1,1,0,1,0
045135,72.32,No,57.28,0,1,1,0,1,0
045138,75.95,No,96.25,0,1,1,0,0,1
045139,86.21,No,51.72,0,1,1,0,1,0
045140,73.47,No,89.04,0,1,1,0,0,1
045142,66.67,No,83.78,0,1,1,0,1,0
045143,48,No,74.51,1,0,1,0,1,0
045144,81.48,No,96,0,1,1,0,0,1
045145,0,No,LNE,1,0,1,0,0,1
045146,76.81,No,98.46,0,1,1,0,0,1
045147,66.2,No,92.31,0,1,1,0,0,1
045148,72.73,No,98.48,0,1,1,0,0,1
045149,69.81,No,90,0,1,1,0,0,1
045305,74.49,No,77.11,0,1,1,0,1,0
045151,72.46,No,92.19,0,1,1,0,0,1
045153,60,No,100,1,0,1,0,0,1
045155,72.31,No,98.46,0,1,1,0,0,1
045157,70.59,No,75.81,0,1,1,0,1,0
045158,62.12,No,96.72,1,0,1,0,0,1
045440,68.63,No,75.61,0,1,1,0,1,0
045163,71.19,No,100,0,1,1,0,0,1
045165,88.14,No,85.19,0,1,1,0,1,0
045167,68.93,Yes,87.5,0,1,0,1,1,0
045176,76.81,No,70.18,0,1,1,0,1,0
045180,83.33,No,73.68,0,1,1,0,1,0
045182,61.25,No,74.24,1,0,1,0,1,0
045183,58.7,No,93.26,1,0,1,0,0,1
045190,83.33,No,61.11,0,1,1,0,1,0
045198,0,Yes,LNE,1,0,0,1,0,1
045199,56.86,No,69.66,1,0,1,0,1,0
045311,79.37,No,LNE,0,1,1,0,0,1
045202,57.5,No,74.6,1,0,1,0,1,0
045259,79.55,No,31.71,0,1,1,0,1,0
045288,72.09,No,39.13,0,1,1,0,1,0
045289,77.33,No,75.76,0,1,1,0,1,0
045307,0,No,LNE,1,0,1,0,0,1
045436,43.33,No,91.23,1,0,1,0,0,1
045363,67.48,Yes,91.43,0,1,0,1,0,1
045361,72.97,No,97.14,0,1,1,0,0,1
045377,67.74,No,78.18,0,1,1,0,1,0
045221,89.71,No,41.27,0,1,1,0,1,0
045166,81.16,No,76.12,0,1,1,0,1,0
045379,84.96,No,35.16,0,1,1,0,1,0
045254,71.95,No,93.67,0,1,1,0,0,1
045256,57.14,No,94.12,1,0,1,0,0,1
045314,87.5,No,94.12,0,1,1,0,0,1
045447,65.56,No,97.62,0,1,1,0,0,1
045197,51.61,No,97.01,1,0,1,0,0,1
045275,75.41,No,46.55,0,1,1,0,1,0
045212,64.47,No,93.75,0,1,1,0,0,1
045214,65.52,No,92.41,0,1,1,0,0,1
045410,65.43,No,93.33,0,1,1,0,0,1
045327,53.93,No,91.03,1,0,1,0,0,1
045393,60.49,No,95.12,1,0,1,0,0,1
045168,60.78,No,100,1,0,1,0,0,1
045341,59.57,No,97.83,1,0,1,0,0,1
045332,72.22,No,85.71,0,1,1,0,1,0
045271,78.16,No,54.22,0,1,1,0,1,0
045418,76.19,No,97.83,0,1,1,0,0,1
045323,70.27,No,83.05,0,1,1,0,1,0
045383,72.06,No,98.33,0,1,1,0,0,1
045181,92.73,No,44.9,0,1,1,0,1,0
045340,52.08,No,93.67,1,0,1,0,0,1
045321,78,No,89.36,0,1,1,0,0,1
045270,64.86,No,88.33,0,1,1,0,1,0
045247,69.41,No,96.55,0,1,1,0,0,1
045345,93.64,No,64.71,0,1,1,0,1,0
045356,65.09,No,98.85,0,1,1,0,0,1
045222,81.05,No,79.31,0,1,1,0,1,0
045241,76.14,No,86.21,0,1,1,0,1,0
045443,73.72,No,98.44,0,1,1,0,0,1
045358,59.15,No,100,1,0,1,0,0,1
045401,76.47,No,LNE,0,1,1,0,0,1
045312,64.29,No,100,1,0,1,0,0,1
045207,60,No,51.56,1,0,1,0,1,0
045385,74.36,No,55.45,0,1,1,0,1,0
045317,76.26,No,98.5,0,1,1,0,0,1
045364,53.93,No,87.36,1,0,1,0,1,0
045268,65.26,No,93.26,0,1,1,0,0,1
045413,53.6,No,93.28,1,0,1,0,0,1
045242,61.54,No,94.44,1,0,1,0,0,1
045414,65.52,No,100,0,1,1,0,0,1
045235,78.33,No,83.93,0,1,1,0,1,0
045196,63,No,100,1,0,1,0,0,1
045236,69.12,No,93.85,0,1,1,0,0,1
045201,77.17,No,69.05,0,1,1,0,1,0
045245,62.03,No,85.29,1,0,1,0,1,0
045178,58.7,No,100,1,0,1,0,0,1
045170,65.98,No,97.67,0,1,1,0,0,1
045409,75.41,No,97.96,0,1,1,0,0,1
045406,28.89,No,100,1,0,1,0,0,1
045267,72.28,Yes,84.71,0,1,0,1,1,0
045187,64.77,No,63.29,0,1,1,0,1,0
04A293,99.22,No,76.55,0,1,1,0,1,0
045177,67.35,No,100,0,1,1,0,0,1
045391,80.43,Yes,82.02,0,1,0,1,1,0
045284,66.07,No,98.04,0,1,1,0,0,1
045339,77.65,No,100,0,1,1,0,0,1
045448,61.76,No,100,1,0,1,0,0,1
045334,66.67,No,90.12,0,1,1,0,0,1
045315,64,No,98.21,1,0,1,0,0,1
045208,56.94,No,98.21,1,0,1,0,0,1
045266,69.07,No,98.9,0,1,1,0,0,1
045386,67.39,No,97.78,0,1,1,0,0,1
045229,68.97,No,100,0,1,1,0,0,1
045415,90.91,No,94.87,0,1,1,0,0,1
04A158,78.1,No,97.94,0,1,1,0,0,1
045424,74.6,No,94.17,0,1,1,0,0,1
045173,58.89,No,72.94,1,0,1,0,1,0
045192,67.61,No,98.51,0,1,1,0,0,1
045203,78.13,No,92.41,0,1,1,0,0,1
045248,78.26,No,100,0,1,1,0,0,1
045359,93.98,No,28.57,0,1,1,0,1,0
045396,60.32,No,78.95,1,0,1,0,1,0
045189,81.03,No,51.02,0,1,1,0,1,0
045232,67.8,No,55.32,0,1,1,0,1,0
045243,32.14,No,94.74,1,0,1,0,0,1
045211,71.3,No,61.22,0,1,1,0,1,0
045217,90,No,20.97,0,1,1,0,1,0
045326,44.9,No,100,1,0,1,0,0,1
045277,80,No,32.84,0,1,1,0,1,0
045384,75.36,No,98.15,0,1,1,0,0,1
045304,61.96,No,96.43,1,0,1,0,0,1
045269,72.41,No,77.05,0,1,1,0,1,0
045403,69.35,No,91.67,0,1,1,0,0,1
045412,63.95,Yes,53.42,1,0,0,1,1,0
045432,73.42,No,33.33,0,1,1,0,1,0
045194,80,No,41.86,0,1,1,0,1,0
045430,73.21,No,60.38,0,1,1,0,1,0
045218,64.71,No,100,0,1,1,0,0,1
045184,71.74,No,43.48,0,1,1,0,1,0
045404,74.58,No,94.34,0,1,1,0,0,1
045348,93.1,No,60.71,0,1,1,0,1,0
045300,62.22,Yes,92.75,1,0,0,1,0,1
045451,64.47,No,95.59,0,1,1,0,0,1
045290,78.57,No,96.39,0,1,1,0,0,1
045172,73.21,No,69.81,0,1,1,0,1,0
045392,83.33,No,97.06,0,1,1,0,0,1
045376,51.09,No,91.25,1,0,1,0,0,1
045337,68.09,No,75.79,0,1,1,0,1,0
045228,87.23,No,65.71,0,1,1,0,1,0
045239,56.92,No,60,1,0,1,0,1,0
045398,52.87,No,97.47,1,0,1,0,0,1
045351,48.05,No,100,1,0,1,0,0,1
045338,72.92,No,95.56,0,1,1,0,0,1
045374,50.57,No,71.23,1,0,1,0,1,0
045280,59.7,No,100,1,0,1,0,0,1
045302,58.82,No,98.46,1,0,1,0,0,1
045369,79.8,No,100,0,1,1,0,0,1
045343,48.62,No,81.05,1,0,1,0,1,0
045346,80.77,No,95.92,0,1,1,0,0,1
045350,71.43,No,57.81,0,1,1,0,1,0
045390,72.29,Yes,76.25,0,1,0,1,1,0
045352,63.77,No,100,1,0,1,0,0,1
045354,45.74,No,93.9,1,0,1,0,0,1
045357,63.81,No,51,1,0,1,0,1,0
045394,57.14,No,100,1,0,1,0,0,1
045370,45.95,No,100,1,0,1,0,0,1
045372,72.84,No,72.5,0,1,1,0,1,0
045439,59.02,No,73.08,1,0,1,0,1,0
045378,70.45,No,80.77,0,1,1,0,1,0
045381,70.59,No,98.46,0,1,1,0,0,1
045380,54.67,No,95.24,1,0,1,0,0,1
045402,36.49,No,100,1,0,1,0,0,1
045407,57.03,Yes,98.15,1,0,0,1,0,1
045408,51.35,No,100,1,0,1,0,0,1
045416,48.96,No,79.52,1,0,1,0,1,0
045417,32.53,No,96.05,1,0,1,0,0,1
045422,57.14,No,79.63,1,0,1,0,1,0
045421,58.54,No,98.63,1,0,1,0,0,1
045427,44.29,No,100,1,0,1,0,0,1
045455,54.37,No,69.77,1,0,1,0,1,0
045428,51.81,No,100,1,0,1,0,0,1
045438,48.05,No,77.46,1,0,1,0,1,0
045431,52.44,No,87.32,1,0,1,0,1,0
045435,36.21,No,98.95,1,0,1,0,0,1
045433,73.33,No,100,0,1,1,0,0,1
045434,69.15,No,96.34,0,1,1,0,0,1
045437,66.67,No,86.15,0,1,1,0,1,0
