countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
5043,113,2,18219,620,11,0,1,0,1
5045,905,4,126007,718,3,0,1,1,0
5047,41,1,17715,231,6,1,0,1,0
5049,20,0,12477,160,0,1,0,1,0
5051,473,5,99386,476,5,0,1,1,0
5053,79,0,18265,433,0,1,0,1,0
5055,171,0,45325,377,0,1,0,1,0
5057,122,1,21532,567,5,0,1,1,0
5059,1349,2,33771,3995,6,0,1,1,0
5061,169,1,13202,1280,8,0,1,0,1
5063,110,0,37825,291,0,1,0,1,0
5065,28,1,13629,205,7,1,0,0,1
5067,46,0,16719,275,0,1,0,1,0
5069,1023,30,66824,1531,45,0,1,0,1
5071,485,0,26578,1825,0,0,1,1,0
5073,37,2,6624,559,30,0,1,0,1
5075,135,9,16406,823,55,0,1,0,1
5077,861,5,8857,9721,56,0,1,0,1
5079,1119,11,13024,8592,84,0,1,0,1
5081,63,1,12259,514,8,0,1,0,1
5083,103,0,21466,480,0,0,1,1,0
5085,257,2,73309,351,3,1,0,1,0
5087,229,1,16576,1382,6,0,1,1,0
5089,15,0,16694,90,0,1,0,1,0
5091,336,2,43257,777,5,0,1,1,0
5093,421,5,40651,1036,12,0,1,0,1
5095,33,0,6701,492,0,0,1,1,0
5097,14,0,8986,156,0,1,0,1,0
5099,117,6,8252,1418,73,0,1,0,1
5101,16,0,7753,206,0,1,0,1,0
5103,49,1,23382,210,4,1,0,1,0
5105,39,0,10455,373,0,1,0,1,0
5107,208,6,17782,1170,34,0,1,0,1
5109,32,0,10718,299,0,1,0,1,0
5111,92,3,23528,391,13,1,0,0,1
5113,103,0,19964,516,0,0,1,1,0
5115,849,4,64072,1325,6,0,1,1,0
5117,45,0,8062,558,0,0,1,1,0
5119,3652,69,391911,932,18,0,1,0,1
5121,97,2,17958,540,11,0,1,0,1
5123,953,3,24994,3813,12,0,1,0,1
5125,584,3,122437,477,2,0,1,1,0
5127,20,0,10281,195,0,1,0,1,0
5129,19,0,7881,241,0,1,0,1,0
