countyFIPS,7/19/20,7/19/20,population,County Infections per 100K,County Deaths per 100K,County Infections per 100K below Median,County Infections per 100K Median or higher,County Deaths per 100K below Median,County Deaths per 100K Median or higher
16059,6,0,8027,75,0,1,0,1,0
16061,0,0,3838,0,0,1,0,1,0
16063,44,0,5366,820,0,0,1,1,0
16065,94,0,39907,236,0,1,0,1,0
16067,300,0,21039,1426,0,0,1,1,0
16069,116,19,40408,287,47,1,0,0,1
16071,7,0,4531,154,0,1,0,1,0
16073,133,0,11823,1125,0,0,1,1,0
16075,235,2,23951,981,8,0,1,0,1
16077,22,0,7681,286,0,1,0,1,0
16079,21,0,12882,163,0,1,0,1,0
16081,42,0,12142,346,0,1,0,1,0
16083,920,25,86878,1059,29,0,1,0,1
16085,36,1,11392,316,9,1,0,0,1
16087,146,2,10194,1432,20,0,1,0,1
0,33,0,0,,,0,1,0,1
17001,252,1,65435,385,2,1,0,1,0
17003,32,0,5761,555,0,0,1,1,0
17005,25,1,16426,152,6,1,0,1,0
17007,649,21,53544,1212,39,0,1,0,1
17009,11,0,6578,167,0,1,0,1,0
17011,53,2,32628,162,6,1,0,1,0
17013,2,0,4739,42,0,1,0,1,0
17015,23,2,14305,161,14,1,0,0,1
17017,152,10,12147,1251,82,0,1,0,1
17019,1209,17,209689,577,8,0,1,0,1
17021,55,4,32304,170,12,1,0,0,1
17023,49,0,15441,317,0,1,0,1,0
17025,8,0,13184,61,0,1,0,1,0
17027,268,16,37562,713,43,0,1,0,1
17029,235,17,50621,464,34,1,0,0,1
17031,98670,4776,5150233,1916,93,0,1,0,1
17033,24,0,18667,129,0,1,0,1,0
17035,36,1,10766,334,9,1,0,0,1
17037,699,23,104897,666,22,0,1,0,1
17039,20,0,15638,128,0,1,0,1,0
17041,76,0,19465,390,0,1,0,1,0
17043,10196,497,922921,1105,54,0,1,0,1
17045,21,0,17161,122,0,1,0,1,0
17047,5,0,6395,78,0,1,0,1,0
17049,42,1,34008,124,3,1,0,1,0
17051,35,3,21336,164,14,1,0,0,1
17053,32,1,12961,247,8,1,0,0,1
17055,71,0,38469,185,0,1,0,1,0
17057,18,0,34340,52,0,1,0,1,0
17059,15,0,4828,311,0,1,0,1,0
17061,13,0,12969,100,0,1,0,1,0
17063,213,5,51054,417,10,1,0,0,1
17065,9,0,8116,111,0,1,0,1,0
17067,22,1,17708,124,6,1,0,1,0
17069,5,0,3821,131,0,1,0,1,0
17071,8,0,6646,120,0,1,0,1,0
17073,143,1,48913,292,2,1,0,1,0
17075,181,5,27114,668,18,0,1,0,1
17077,400,19,56750,705,33,0,1,0,1
17079,48,7,9610,499,73,0,1,0,1
17081,130,17,37684,345,45,1,0,0,1
17083,52,1,21773,239,5,1,0,1,0
17085,64,1,21235,301,5,1,0,1,0
17087,38,0,12417,306,0,1,0,1,0
17089,8361,289,532403,1570,54,0,1,0,1
17091,1504,66,109862,1369,60,0,1,0,1
17093,1125,21,128990,872,16,0,1,0,1
17095,190,0,49699,382,0,1,0,1,0
17097,10818,433,696535,1553,62,0,1,0,1
17099,328,18,108669,302,17,1,0,0,1
17101,23,0,15678,147,0,1,0,1,0
17103,117,2,34096,343,6,1,0,1,0
17105,60,2,35648,168,6,1,0,1,0
17107,43,0,28618,150,0,1,0,1,0
17109,115,15,29682,387,51,1,0,0,1
17111,2463,107,307774,800,35,0,1,0,1
17113,386,15,171517,225,9,1,0,0,1
17115,275,22,104009,264,21,1,0,0,1
17117,86,3,44926,191,7,1,0,1,0
17119,1478,71,262966,562,27,0,1,0,1
17121,89,0,37205,239,0,1,0,1,0
17123,15,0,11438,131,0,1,0,1,0
17125,36,0,13359,269,0,1,0,1,0
17127,19,0,13772,138,0,1,0,1,0
17129,34,0,12196,279,0,1,0,1,0
17131,34,0,15437,220,0,1,0,1,0
17133,192,13,34637,554,38,0,1,0,1
17135,106,2,28414,373,7,1,0,0,1
17137,145,5,33658,431,15,1,0,0,1
17139,29,0,14501,200,0,1,0,1,0
17141,338,5,50643,667,10,0,1,0,1
17143,824,31,179179,460,17,1,0,0,1
17145,67,1,20916,320,5,1,0,1,0
17147,26,0,16344,159,0,1,0,1,0
17149,9,0,15561,58,0,1,0,1,0
17151,2,0,4177,48,0,1,0,1,0
17153,87,0,5335,1631,0,0,1,1,0
17155,2,0,5739,35,0,1,0,1,0
17157,363,7,31782,1142,22,0,1,0,1
17159,10,0,15513,64,0,1,0,1,0
17161,1344,30,141879,947,21,0,1,0,1
17163,2722,150,259686,1048,58,0,1,0,1
17165,45,0,23491,192,0,1,0,1,0
17167,656,33,194672,337,17,1,0,0,1
17169,14,0,6768,207,0,1,0,1,0
17171,1,0,4951,20,0,1,0,1,0
17173,29,1,21634,134,5,1,0,1,0
17175,6,0,5342,112,0,1,0,1,0
17177,289,6,44498,649,13,0,1,0,1
17179,221,8,131803,168,6,1,0,1,0
17181,231,21,16653,1387,126,0,1,0,1
17183,121,2,75758,160,3,1,0,1,0
17185,23,0,11520,200,0,1,0,1,0
17187,152,0,16844,902,0,0,1,1,0
17189,31,0,13887,223,0,1,0,1,0
17191,25,1,16215,154,6,1,0,1,0
17193,28,0,13537,207,0,1,0,1,0
17195,233,16,55175,422,29,1,0,0,1
17197,7652,333,690743,1108,48,0,1,0,1
17199,201,4,66597,302,6,1,0,1,0
17201,3342,108,282572,1183,38,0,1,0,1
17203,64,3,38459,166,8,1,0,0,1
0,0,0,0,,,0,1,0,1
18001,57,1,35777,159,3,1,0,1,0
18003,3136,141,379299,827,37,0,1,0,1
18005,635,45,83779,758,54,0,1,0,1
18007,53,0,8748,606,0,0,1,1,0
18009,45,2,11758,383,17,1,0,0,1
18011,530,45,67843,781,66,0,1,0,1
18013,54,1,15092,358,7,1,0,1,0
18015,119,2,20257,587,10,0,1,0,1
18017,1666,9,37689,4420,24,0,1,0,1
18019,773,44,118302,653,37,0,1,0,1
18021,71,5,26225,271,19,1,0,0,1
18023,308,3,32399,951,9,0,1,0,1
18025,36,0,10577,340,0,1,0,1,0
18027,166,17,33351,498,51,0,1,0,1
18029,323,25,49458,653,51,0,1,0,1
18031,264,32,26559,994,120,0,1,0,1
18033,175,4,43475,403,9,1,0,0,1
18035,512,52,114135,449,46,1,0,0,1
18037,426,7,42736,997,16,0,1,0,1
18039,3999,64,206341,1938,31,0,1,0,1
18041,116,7,23102,502,30,0,1,0,1
18043,479,44,78522,610,56,0,1,0,1
18045,43,2,16346,263,12,1,0,0,1
18047,144,8,22758,633,35,0,1,0,1
18049,89,1,19974,446,5,1,0,1,0
18051,158,2,33659,469,6,1,0,1,0
18053,393,27,65769,598,41,0,1,0,1
18055,207,33,31922,648,103,0,1,0,1
18057,1933,101,338011,572,30,0,1,0,1
18059,506,36,78168,647,46,0,1,0,1
18061,229,22,40515,565,54,0,1,0,1
18063,1551,103,170311,911,60,0,1,0,1
18065,322,18,47972,671,38,0,1,0,1
18067,666,59,82544,807,71,0,1,0,1
18069,109,2,36520,298,5,1,0,1,0
18071,502,3,44231,1135,7,0,1,0,1
18073,157,2,33562,468,6,1,0,1,0
18075,73,0,20436,357,0,1,0,1,0
18077,124,2,32308,384,6,1,0,1,0
18079,187,12,27735,674,43,0,1,0,1
18081,1432,118,158167,905,75,0,1,0,1
18083,83,0,36594,227,0,1,0,1,0
18085,657,8,79456,827,10,0,1,0,1
18087,498,10,39614,1257,25,0,1,0,1
18089,6145,254,485493,1266,52,0,1,0,1
18091,688,28,109888,626,25,0,1,0,1
18093,277,26,45370,611,57,0,1,0,1
18095,714,64,129569,551,49,0,1,0,1
18097,12750,706,964582,1322,73,0,1,0,1
18099,659,13,46258,1425,28,0,1,0,1
18101,34,0,10255,332,0,1,0,1,0
18103,207,2,35516,583,6,0,1,1,0
18105,472,28,148431,318,19,1,0,0,1
18107,306,20,38338,798,52,0,1,0,1
18109,368,31,70489,522,44,0,1,0,1
18111,101,10,13984,722,72,0,1,0,1
18113,556,28,47744,1165,59,0,1,0,1
18115,31,2,5875,528,34,0,1,0,1
18117,146,24,19646,743,122,0,1,0,1
18119,56,1,20799,269,5,1,0,1,0
18121,32,0,16937,189,0,1,0,1,0
18123,159,12,19169,829,63,0,1,0,1
18125,19,0,12389,153,0,1,0,1,0
18127,910,38,170389,534,22,0,1,0,1
18129,102,0,25427,401,0,1,0,1,0
18131,68,1,12353,550,8,0,1,0,1
18133,190,8,37576,506,21,0,1,0,1
18135,82,4,24665,332,16,1,0,0,1
18137,155,7,28324,547,25,0,1,0,1
18139,69,3,16581,416,18,1,0,0,1
18141,2491,73,271826,916,27,0,1,0,1
18143,193,9,23873,808,38,0,1,0,1
18145,474,25,44729,1060,56,0,1,0,1
18147,89,1,20277,439,5,1,0,1,0
18149,134,4,22995,583,17,0,1,0,1
18151,152,3,34594,439,9,1,0,0,1
18153,64,1,20669,310,5,1,0,1,0
18155,35,0,10751,326,0,1,0,1,0
18157,875,10,195732,447,5,1,0,1,0
18159,43,2,15148,284,13,1,0,0,1
18161,17,0,7054,241,0,1,0,1,0
18163,1114,6,181451,614,3,0,1,1,0
18165,20,0,15498,129,0,1,0,1,0
18167,294,9,107038,275,8,1,0,0,1
18169,128,3,30996,413,10,1,0,0,1
18171,16,1,8265,194,12,1,0,0,1
18173,343,29,62998,544,46,0,1,0,1
18175,77,1,28036,275,4,1,0,1,0
18177,199,6,65884,302,9,1,0,0,1
18179,94,1,28296,332,4,1,0,1,0
18181,300,10,24102,1245,41,0,1,0,1
18183,116,6,33964,342,18,1,0,0,1
0,30,0,0,,,0,1,0,1
19001,20,0,7152,280,0,1,0,1,0
19003,12,0,3602,333,0,1,0,1,0
19005,139,4,13687,1016,29,0,1,0,1
19007,34,3,12426,274,24,1,0,0,1
19009,20,1,5496,364,18,1,0,0,1
19011,90,1,25645,351,4,1,0,1,0
19013,2688,60,131228,2048,46,0,1,0,1
19015,182,1,26234,694,4,0,1,1,0
19017,135,7,25062,539,28,0,1,0,1
19019,73,1,21175,345,5,1,0,1,0
19021,1752,12,19620,8930,61,0,1,0,1
19023,81,2,14439,561,14,0,1,0,1
19025,68,2,9668,703,21,0,1,0,1
19027,132,1,20165,655,5,0,1,1,0
19029,29,0,12836,226,0,1,0,1,0
19031,103,1,18627,553,5,0,1,1,0
19033,431,12,42450,1015,28,0,1,0,1
19035,87,1,11235,774,9,0,1,0,1
19037,37,0,11933,310,0,1,0,1,0
19039,152,3,9395,1618,32,0,1,0,1
19041,159,1,16016,993,6,0,1,1,0
19043,55,3,17549,313,17,1,0,0,1
19045,173,2,46429,373,4,1,0,1,0
19047,688,3,16820,4090,18,0,1,0,1
19049,1544,34,93453,1652,36,0,1,0,1
19051,45,1,9000,500,11,0,1,0,1
19053,15,0,7870,191,0,1,0,1,0
19055,62,1,17011,364,6,1,0,1,0
19057,116,2,38967,298,5,1,0,1,0
19059,331,3,17258,1918,17,0,1,0,1
19061,1176,23,97311,1208,24,0,1,0,1
19063,113,0,9208,1227,0,0,1,1,0
19065,63,0,19650,321,0,1,0,1,0
19067,92,2,15642,588,13,0,1,0,1
19069,132,0,10070,1311,0,0,1,1,0
19071,14,0,6960,201,0,1,0,1,0
19073,37,0,8888,416,0,1,0,1,0
19075,57,0,12232,466,0,1,0,1,0
19077,98,5,10689,917,47,0,1,0,1
19079,212,1,14773,1435,7,0,1,0,1
19081,75,2,10630,706,19,0,1,0,1
19083,105,0,16846,623,0,0,1,1,0
19085,69,0,14049,491,0,0,1,1,0
19087,100,3,19954,501,15,0,1,0,1
19089,41,0,9158,448,0,1,0,1,0
19091,70,1,9558,732,10,0,1,0,1
19093,24,0,6860,350,0,1,0,1,0
19095,65,1,16184,402,6,1,0,1,0
19097,92,0,19439,473,0,1,0,1,0
19099,388,17,37185,1043,46,0,1,0,1
19101,66,0,18295,361,0,1,0,1,0
19103,1619,10,151140,1071,7,0,1,1,0
19105,89,1,20681,430,5,1,0,1,0
19107,24,1,10246,234,10,1,0,0,1
19109,67,0,14813,452,0,1,0,1,0
19111,57,2,33657,169,6,1,0,1,0
19113,1570,87,226706,693,38,0,1,0,1
19115,370,13,11035,3353,118,0,1,0,1
19117,37,4,8600,430,47,1,0,0,1
19119,69,0,11755,587,0,0,1,1,0
19121,73,2,16338,447,12,1,0,0,1
19123,127,17,22095,575,77,0,1,0,1
19125,99,0,33253,298,0,1,0,1,0
19127,1180,20,39369,2997,51,0,1,0,1
19129,58,0,15109,384,0,1,0,1,0
19131,67,0,10586,633,0,0,1,1,0
19133,81,0,8615,940,0,0,1,1,0
19135,59,7,7707,766,91,0,1,0,1
19137,19,2,9917,192,20,1,0,0,1
19139,729,45,42664,1709,105,0,1,0,1
19141,105,1,13753,763,7,0,1,0,1
19143,71,0,5958,1192,0,0,1,1,0
19145,30,0,15107,199,0,1,0,1,0
19147,61,0,8886,686,0,0,1,1,0
19149,374,5,25177,1485,20,0,1,0,1
19151,109,1,6619,1647,15,0,1,0,1
19153,8306,189,490161,1695,39,0,1,0,1
19155,916,15,93206,983,16,0,1,0,1
19157,114,8,18504,616,43,0,1,0,1
19159,17,1,4894,347,20,1,0,0,1
19161,73,0,9721,751,0,0,1,1,0
19163,1287,10,172943,744,6,0,1,1,0
19165,125,0,11454,1091,0,0,1,1,0
19167,531,0,34855,1523,0,0,1,1,0
19169,931,8,97117,959,8,0,1,0,1
19171,508,29,16854,3014,172,0,1,0,1
19173,81,0,6121,1323,0,0,1,1,0
19175,56,1,12241,457,8,1,0,0,1
19177,22,1,7044,312,14,1,0,0,1
19179,732,31,34969,2093,89,0,1,0,1
19181,400,1,51466,777,2,0,1,1,0
19183,260,9,21965,1184,41,0,1,0,1
19185,11,1,6441,171,16,1,0,0,1
19187,530,5,35904,1476,14,0,1,0,1
19189,56,0,10354,541,0,0,1,1,0
19191,56,1,19991,280,5,1,0,1,0
19193,3454,46,103107,3350,45,0,1,0,1
19195,36,0,7381,488,0,0,1,1,0
19197,415,1,12562,3304,8,0,1,0,1
0,44,0,0,,,0,1,0,1
20001,9,0,12369,73,0,1,0,1,0
20003,22,0,7858,280,0,1,0,1,0
20005,46,0,16073,286,0,1,0,1,0
20007,3,0,4427,68,0,1,0,1,0
20009,67,2,25779,260,8,1,0,0,1
20011,45,1,14534,310,7,1,0,0,1
20013,24,0,9564,251,0,1,0,1,0
20015,124,0,66911,185,0,1,0,1,0
20017,6,0,2648,227,0,1,0,1,0
20019,5,0,3250,154,0,1,0,1,0
20021,59,1,19939,296,5,1,0,1,0
20023,2,0,2657,75,0,1,0,1,0
20025,36,0,1994,1805,0,0,1,1,0
20027,12,2,8002,150,25,1,0,0,1
20029,26,0,8786,296,0,1,0,1,0
20031,59,8,8179,721,98,0,1,0,1
20033,3,0,1700,176,0,1,0,1,0
20035,97,1,34908,278,3,1,0,1,0
20037,332,1,38818,855,3,0,1,1,0
20039,4,0,2827,141,0,1,0,1,0
20041,24,1,18466,130,5,1,0,1,0
20043,28,0,7600,368,0,1,0,1,0
20045,504,0,122259,412,0,1,0,1,0
20047,9,0,2798,322,0,1,0,1,0
20049,1,0,2530,40,0,1,0,1,0
20051,80,0,28553,280,0,1,0,1,0
20053,14,0,6102,229,0,1,0,1,0
20055,1624,10,36467,4453,27,0,1,0,1
20057,2053,10,33619,6107,30,0,1,0,1
20059,102,1,25544,399,4,1,0,1,0
20061,139,1,31670,439,3,1,0,1,0
20063,2,0,2636,76,0,1,0,1,0
20065,8,0,2482,322,0,1,0,1,0
20067,66,2,7150,923,28,0,1,0,1
20069,39,0,5988,651,0,0,1,1,0
20071,2,0,1232,162,0,1,0,1,0
20073,11,0,5982,184,0,1,0,1,0
20075,38,0,2539,1497,0,0,1,1,0
20077,4,0,5436,74,0,1,0,1,0
20079,108,3,34429,314,9,1,0,0,1
20081,35,0,3968,882,0,0,1,1,0
20083,10,0,1794,557,0,0,1,1,0
20085,125,1,13171,949,8,0,1,0,1
20087,41,0,19043,215,0,1,0,1,0
20089,5,0,2879,174,0,1,0,1,0
20091,3744,92,602401,622,15,0,1,0,1
20093,52,1,3838,1355,26,0,1,0,1
20095,5,0,7152,70,0,1,0,1,0
20097,5,0,2475,202,0,1,0,1,0
20099,86,0,19618,438,0,1,0,1,0
20101,5,0,1535,326,0,1,0,1,0
20103,1274,7,81758,1558,9,0,1,0,1
20105,5,0,2962,169,0,1,0,1,0
20107,21,0,9703,216,0,1,0,1,0
20109,2,0,2794,72,0,1,0,1,0
20111,540,7,33195,1627,21,0,1,0,1
20113,101,0,28542,354,0,1,0,1,0
20115,27,1,11884,227,8,1,0,0,1
20117,7,0,9707,72,0,1,0,1,0
20119,34,0,4033,843,0,0,1,1,0
20121,74,0,34237,216,0,1,0,1,0
20123,19,0,5979,318,0,1,0,1,0
20125,74,3,31829,232,9,1,0,0,1
20127,6,0,5620,107,0,1,0,1,0
20129,7,2,2587,271,77,1,0,0,1
20131,36,0,10231,352,0,1,0,1,0
20133,49,0,16007,306,0,1,0,1,0
20135,5,0,2750,182,0,1,0,1,0
20137,21,0,5361,392,0,1,0,1,0
20139,32,0,15949,201,0,1,0,1,0
20141,3,0,3421,88,0,1,0,1,0
20143,22,0,5704,386,0,1,0,1,0
20145,7,0,6414,109,0,1,0,1,0
20147,35,4,5234,669,76,0,1,0,1
20149,98,0,24383,402,0,1,0,1,0
20151,24,0,9164,262,0,1,0,1,0
20153,0,0,2530,0,0,1,0,1,0
20155,155,0,61998,250,0,1,0,1,0
20157,21,0,4636,453,0,1,0,1,0
20159,12,0,9537,126,0,1,0,1,0
20161,382,3,74232,515,4,0,1,1,0
20163,10,0,4920,203,0,1,0,1,0
20165,4,0,3036,132,0,1,0,1,0
20167,4,0,6856,58,0,1,0,1,0
20169,247,3,54224,456,6,1,0,1,0
20171,19,0,4823,394,0,1,0,1,0
20173,2790,32,516042,541,6,0,1,1,0
20175,1105,2,21428,5157,9,0,1,0,1
20177,1159,13,176875,655,7,0,1,0,1
20179,7,0,2521,278,0,1,0,1,0
20181,9,0,5917,152,0,1,0,1,0
20183,3,0,3583,84,0,1,0,1,0
20185,2,0,4156,48,0,1,0,1,0
20187,12,0,2006,598,0,0,1,1,0
20189,39,0,5485,711,0,0,1,1,0
20191,58,1,22836,254,4,1,0,1,0
20193,19,0,7777,244,0,1,0,1,0
20195,3,0,2803,107,0,1,0,1,0
20197,38,0,6931,548,0,0,1,1,0
20199,0,0,1518,0,0,1,0,1,0
20201,2,0,5406,37,0,1,0,1,0
20203,0,0,2119,0,0,1,0,1,0
20205,5,0,8525,59,0,1,0,1,0
20207,9,0,3138,287,0,1,0,1,0
20209,3655,89,165429,2209,54,0,1,0,1
0,6,0,0,,,0,1,0,1
21001,163,19,19202,849,99,0,1,0,1
21003,199,7,21315,934,33,0,1,0,1
21005,35,1,22747,154,4,1,0,1,0
21007,25,0,7888,317,0,1,0,1,0
21009,171,2,44249,386,5,1,0,1,0
21011,23,1,12500,184,8,1,0,0,1
21013,159,1,26032,611,4,0,1,1,0
21015,837,23,133581,627,17,0,1,0,1
21017,54,1,19788,273,5,1,0,1,0
21019,116,3,46718,248,6,1,0,1,0
21021,58,0,30060,193,0,1,0,1,0
21023,24,0,8303,289,0,1,0,1,0
21025,16,0,12630,127,0,1,0,1,0
21027,37,2,20477,181,10,1,0,0,1
21029,197,4,81676,241,5,1,0,1,0
21031,280,14,12879,2174,109,0,1,0,1
21033,41,0,12747,322,0,1,0,1,0
21035,133,1,39001,341,3,1,0,1,0
21037,391,13,93584,418,14,1,0,0,1
21039,14,1,4760,294,21,1,0,0,1
21041,125,2,10631,1176,19,0,1,0,1
21043,69,1,26797,257,4,1,0,1,0
21045,100,5,16159,619,31,0,1,0,1
21047,361,4,70461,512,6,0,1,1,0
21049,121,7,36263,334,19,1,0,0,1
21051,114,4,19901,573,20,0,1,0,1
21053,12,0,10218,117,0,1,0,1,0
21055,19,1,8806,216,11,1,0,0,1
21057,15,0,6614,227,0,1,0,1,0
21059,570,8,101511,562,8,0,1,0,1
21061,82,12,12150,675,99,0,1,0,1
21063,7,0,7517,93,0,1,0,1,0
21065,8,0,14106,57,0,1,0,1,0
21067,2111,41,323152,653,13,0,1,0,1
21069,41,0,14581,281,0,1,0,1,0
21071,57,1,35589,160,3,1,0,1,0
21073,186,5,50991,365,10,1,0,0,1
21075,31,1,5969,519,17,0,1,0,1
21077,72,8,8869,812,90,0,1,0,1
21079,45,0,17666,255,0,1,0,1,0
21081,77,5,25069,307,20,1,0,0,1
21083,382,21,37266,1025,56,0,1,0,1
21085,158,11,26427,598,42,0,1,0,1
21087,14,1,10941,128,9,1,0,0,1
21089,53,0,35098,151,0,1,0,1,0
21091,35,0,8722,401,0,1,0,1,0
21093,355,7,110958,320,6,1,0,1,0
21095,78,2,26010,300,8,1,0,0,1
21097,91,0,18886,482,0,0,1,1,0
21099,57,0,19035,299,0,1,0,1,0
21101,232,3,45210,513,7,0,1,1,0
21103,61,2,16126,378,12,1,0,0,1
21105,14,0,4380,320,0,1,0,1,0
21107,353,33,44686,790,74,0,1,0,1
21109,118,14,13329,885,105,0,1,0,1
21111,5170,215,766757,674,28,0,1,0,1
21113,179,0,54115,331,0,1,0,1,0
21115,16,0,22188,72,0,1,0,1,0
21117,1053,37,166998,631,22,0,1,0,1
21119,26,0,14806,176,0,1,0,1,0
21121,140,7,31145,450,22,1,0,0,1
21123,27,1,14398,188,7,1,0,0,1
21125,251,4,60813,413,7,1,0,1,0
21127,15,0,15317,98,0,1,0,1,0
21129,2,0,7403,27,0,1,0,1,0
21131,13,0,9877,132,0,1,0,1,0
21133,26,0,21553,121,0,1,0,1,0
21135,26,0,13275,196,0,1,0,1,0
21137,73,1,24549,297,4,1,0,1,0
21139,25,0,9194,272,0,1,0,1,0
21141,269,19,27102,993,70,0,1,0,1
21143,25,3,8210,305,37,1,0,0,1
21145,243,3,65418,371,5,1,0,1,0
21147,19,0,17231,110,0,1,0,1,0
21149,35,1,9207,380,11,1,0,0,1
21151,258,1,92987,277,1,1,0,1,0
21153,7,0,12161,58,0,1,0,1,0
21155,79,0,19273,410,0,1,0,1,0
21157,92,2,31100,296,6,1,0,1,0
21159,15,0,11195,134,0,1,0,1,0
21161,43,1,17070,252,6,1,0,1,0
21163,49,2,28572,171,7,1,0,0,1
21165,19,0,6489,293,0,1,0,1,0
21167,32,0,21933,146,0,1,0,1,0
21169,18,2,10071,179,20,1,0,0,1
21171,61,2,10650,573,19,0,1,0,1
21173,89,0,28157,316,0,1,0,1,0
21175,23,0,13309,173,0,1,0,1,0
21177,571,9,30622,1865,29,0,1,0,1
21179,145,2,46233,314,4,1,0,1,0
21181,17,0,7269,234,0,1,0,1,0
21183,291,1,23994,1213,4,0,1,1,0
21185,396,8,66799,593,12,0,1,0,1
21187,22,0,10901,202,0,1,0,1,0
21189,4,0,4415,91,0,1,0,1,0
21191,28,0,14590,192,0,1,0,1,0
21193,122,2,25758,474,8,1,0,0,1
21195,156,3,57876,270,5,1,0,1,0
21197,29,0,12359,235,0,1,0,1,0
21199,153,2,64979,235,3,1,0,1,0
21201,2,0,2108,95,0,1,0,1,0
21203,40,0,16695,240,0,1,0,1,0
21205,44,0,24460,180,0,1,0,1,0
21207,75,5,17923,418,28,1,0,0,1
21209,168,0,57004,295,0,1,0,1,0
21211,613,21,49024,1250,43,0,1,0,1
21213,108,4,18572,582,22,0,1,0,1
21215,62,0,19351,320,0,1,0,1,0
21217,69,1,25769,268,4,1,0,1,0
21219,28,0,12294,228,0,1,0,1,0
21221,37,0,14651,253,0,1,0,1,0
21223,25,0,8471,295,0,1,0,1,0
21225,37,0,14381,257,0,1,0,1,0
21227,1985,19,132896,1494,14,0,1,0,1
21229,39,0,12095,322,0,1,0,1,0
21231,35,0,20333,172,0,1,0,1,0
21233,63,0,12942,487,0,0,1,1,0
21235,71,0,36264,196,0,1,0,1,0
21237,6,0,7157,84,0,1,0,1,0
21239,97,0,26734,363,0,1,0,1,0
0,5,0,0,,,0,1,0,1
22001,1696,51,62045,2733,82,0,1,0,1
22003,628,14,25627,2451,55,0,1,0,1
22005,1896,64,126604,1498,51,0,1,0,1
22007,449,17,21891,2051,78,0,1,0,1
22009,619,20,40144,1542,50,0,1,0,1
22011,471,9,37497,1256,24,0,1,0,1
22013,297,28,13241,2243,211,0,1,0,1
22015,1564,45,127039,1231,35,0,1,0,1
22017,4965,257,240204,2067,107,0,1,0,1
22019,4231,80,203436,2080,39,0,1,0,1
22021,142,1,9918,1432,10,0,1,0,1
22023,123,0,6973,1764,0,0,1,1,0
22025,222,3,9494,2338,32,0,1,0,1
22027,165,10,15670,1053,64,0,1,0,1
22029,178,7,19259,924,36,0,1,0,1
22031,491,21,27463,1788,76,0,1,0,1
22033,8366,288,440059,1901,65,0,1,0,1
22035,480,1,6861,6996,15,0,1,0,1
22037,396,34,19135,2070,178,0,1,0,1
22039,441,2,33395,1321,6,0,1,1,0
22041,628,14,20015,3138,70,0,1,0,1
22043,154,3,22389,688,13,0,1,0,1
22045,1607,53,69830,2301,76,0,1,0,1
22047,910,43,32511,2799,132,0,1,0,1
22049,276,18,15744,1753,114,0,1,0,1
22051,12254,500,432493,2833,116,0,1,0,1
22053,753,16,31368,2401,51,0,1,0,1
22055,4848,59,244390,1984,24,0,1,0,1
22057,1928,92,97614,1975,94,0,1,0,1
22059,144,1,14892,967,7,0,1,0,1
22061,505,20,46742,1080,43,0,1,0,1
22063,1892,42,140789,1344,30,0,1,0,1
22065,478,6,10951,4365,55,0,1,0,1
22067,335,10,24874,1347,40,0,1,0,1
22069,483,14,38158,1266,37,0,1,0,1
22071,9265,545,390144,2375,140,0,1,0,1
22073,3569,95,153279,2328,62,0,1,0,1
22075,341,18,23197,1470,78,0,1,0,1
22077,499,28,21730,2296,129,0,1,0,1
22079,2278,85,129648,1757,66,0,1,0,1
22081,129,9,8442,1528,107,0,1,0,1
22083,372,5,20122,1849,25,0,1,0,1
22085,304,3,23884,1273,13,0,1,0,1
22087,816,23,47244,1727,49,0,1,0,1
22089,1012,50,53100,1906,94,0,1,0,1
22091,164,1,10132,1619,10,0,1,0,1
22093,510,30,21096,2418,142,0,1,0,1
22095,1143,88,42837,2668,205,0,1,0,1
22097,1437,63,82124,1750,77,0,1,0,1
22099,1210,30,53431,2265,56,0,1,0,1
22101,1040,39,49348,2107,79,0,1,0,1
22103,3699,189,260419,1420,73,0,1,0,1
22105,2300,47,134758,1707,35,0,1,0,1
22107,40,0,4334,923,0,0,1,1,0
22109,2071,68,110461,1875,62,0,1,0,1
22111,499,30,22108,2257,136,0,1,0,1
22113,764,9,59511,1284,15,0,1,0,1
22115,386,13,47429,814,27,0,1,0,1
22117,942,51,46194,2039,110,0,1,0,1
22119,628,12,38340,1638,31,0,1,0,1
22121,467,32,26465,1765,121,0,1,0,1
22123,198,5,10830,1828,46,0,1,0,1
22125,283,14,15568,1818,90,0,1,0,1
22127,317,5,13904,2280,36,0,1,0,1
0,26,0,0,,,0,1,0,1
23001,511,5,108277,472,5,1,0,1,0
23003,27,1,67055,40,1,1,0,1,0
23005,1950,67,295003,661,23,0,1,0,1
23007,43,1,30199,142,3,1,0,1,0
23009,18,1,54987,33,2,1,0,1,0
23011,147,10,122302,120,8,1,0,0,1
23013,25,1,39772,63,3,1,0,1,0
23015,30,0,34634,87,0,1,0,1,0
23017,48,0,57975,83,0,1,0,1,0
23019,131,5,152148,86,3,1,0,1,0
23021,3,0,16785,18,0,1,0,1,0
23023,34,0,35856,95,0,1,0,1,0
23025,32,0,50484,63,0,1,0,1,0
23027,60,14,39715,151,35,1,0,0,1
23029,5,0,31379,16,0,1,0,1,0
23031,594,12,207641,286,6,1,0,1,0
0,0,67,0,,,0,1,0,1
24001,237,18,70416,337,26,1,0,0,1
24003,5955,213,579234,1028,37,0,1,0,1
24005,9723,510,827370,1175,62,0,1,0,1
